epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,3272.28,0.97503,0.48953,1.15131,0.93157,0.93585,0.97256,0.64719,1.20495,0.55135,1.26853,0.000940941,0.000940941,0.000940941
96,3306.63,0.98148,0.48222,1.1554,0.94807,0.92622,0.97208,0.64127,1.21229,0.56107,1.27321,0.000923716,0.000923716,0.000923716
97,3340.96,0.9623,0.49573,1.15245,0.94268,0.92221,0.97004,0.63797,1.22142,0.549,1.2844,0.000906517,0.000906517,0.000906517
98,3375.28,0.95862,0.48585,1.15062,0.92031,0.93539,0.96897,0.63918,1.22943,0.5455,1.2884,0.000889349,0.000889349,0.000889349
99,3409.61,0.96919,0.4774,1.1684,0.94548,0.9178,0.97112,0.63961,1.23086,0.53631,1.27575,0.000872219,0.000872219,0.000872219
100,3443.95,0.98066,0.47873,1.17644,0.92534,0.93426,0.96971,0.63769,1.22598,0.53475,1.27082,0.00085513,0.00085513,0.00085513
101,3478.34,0.95059,0.47324,1.14858,0.9177,0.92097,0.96378,0.63206,1.22132,0.56003,1.27552,0.000838088,0.000838088,0.000838088
102,3512.64,0.97104,0.47804,1.16023,0.93944,0.92062,0.96992,0.63736,1.21805,0.54782,1.2848,0.000821099,0.000821099,0.000821099
103,3547,0.97813,0.47931,1.14687,0.92932,0.93023,0.97175,0.64647,1.21633,0.54325,1.28825,0.000804167,0.000804167,0.000804167
104,3581.37,0.9695,0.4781,1.15878,0.93679,0.92705,0.97008,0.6378,1.21982,0.54616,1.27641,0.000787298,0.000787298,0.000787298
105,3615.72,0.94831,0.46655,1.1496,0.92964,0.93237,0.96958,0.64377,1.21713,0.53937,1.27607,0.000770497,0.000770497,0.000770497
106,3650.09,0.94703,0.4693,1.14054,0.92888,0.92783,0.96784,0.64216,1.21672,0.54063,1.27869,0.000753769,0.000753769,0.000753769
107,3684.43,0.93937,0.46403,1.13324,0.92328,0.94547,0.96848,0.63854,1.21792,0.53851,1.28266,0.000737119,0.000737119,0.000737119
108,3718.83,0.94776,0.46218,1.14756,0.94771,0.91566,0.96979,0.64434,1.2267,0.53946,1.2953,0.000720552,0.000720552,0.000720552
109,3756.34,0.95138,0.46437,1.16013,0.92801,0.93041,0.96918,0.64282,1.24049,0.53448,1.30561,0.000704073,0.000704073,0.000704073
110,3790.69,0.94425,0.46745,1.13965,0.93278,0.92141,0.97053,0.63843,1.23155,0.53183,1.28329,0.000687688,0.000687688,0.000687688
111,3825.03,0.92722,0.46174,1.13765,0.94737,0.92391,0.97482,0.64465,1.22034,0.53206,1.28626,0.0006714,0.0006714,0.0006714
112,3859.38,0.92831,0.46693,1.14071,0.94123,0.92622,0.97192,0.64347,1.2188,0.52788,1.2882,0.000655216,0.000655216,0.000655216
113,3893.73,0.90986,0.44069,1.1212,0.94918,0.9174,0.97124,0.64482,1.21923,0.5299,1.28275,0.000639139,0.000639139,0.000639139
114,3928.07,0.92027,0.44949,1.13133,0.94114,0.92141,0.97062,0.64527,1.2115,0.53067,1.27736,0.000623176,0.000623176,0.000623176
115,3962.4,0.933,0.45237,1.13485,0.94449,0.92061,0.97198,0.64477,1.22655,0.52922,1.28186,0.000607331,0.000607331,0.000607331
116,3996.73,0.90427,0.44187,1.12601,0.94693,0.93016,0.97609,0.64596,1.21994,0.519,1.27927,0.000591608,0.000591608,0.000591608
117,4031.08,0.90995,0.44161,1.11906,0.94999,0.9182,0.97304,0.64804,1.22274,0.5178,1.29386,0.000576013,0.000576013,0.000576013
118,4065.47,0.90952,0.44125,1.13383,0.94561,0.93023,0.97069,0.65621,1.22112,0.51428,1.29385,0.000560549,0.000560549,0.000560549
119,4099.96,0.89938,0.43886,1.12555,0.94592,0.92579,0.96938,0.64501,1.24543,0.52052,1.31329,0.000545223,0.000545223,0.000545223
120,4134.45,0.89965,0.43848,1.12722,0.9311,0.94289,0.9704,0.64212,1.22901,0.5196,1.29705,0.000530038,0.000530038,0.000530038
121,4168.89,0.90146,0.43761,1.12366,0.93839,0.92835,0.97084,0.64501,1.22187,0.5232,1.29461,0.000515,0.000515,0.000515
122,4203.26,0.89544,0.44486,1.12132,0.92891,0.93504,0.97112,0.63899,1.23838,0.53315,1.29696,0.000500112,0.000500112,0.000500112
123,4237.62,0.89065,0.43848,1.1125,0.94714,0.91955,0.96962,0.64647,1.23339,0.51929,1.29542,0.00048538,0.00048538,0.00048538
124,4272,0.8835,0.42871,1.11012,0.94003,0.92943,0.97411,0.65137,1.22861,0.52185,1.29853,0.000470807,0.000470807,0.000470807
125,4306.4,0.89812,0.43256,1.1229,0.94179,0.9158,0.9732,0.64442,1.23283,0.52302,1.30725,0.000456399,0.000456399,0.000456399
126,4340.75,0.87499,0.42795,1.11866,0.94357,0.92542,0.97306,0.65052,1.22345,0.53008,1.2942,0.000442159,0.000442159,0.000442159
127,4375.13,0.87619,0.43485,1.10738,0.95567,0.91634,0.9737,0.64822,1.23479,0.5272,1.30148,0.000428093,0.000428093,0.000428093
128,4409.52,0.86748,0.42698,1.10871,0.94949,0.91419,0.97336,0.64771,1.23655,0.52686,1.30311,0.000414203,0.000414203,0.000414203
129,4443.84,0.88353,0.42488,1.11153,0.92596,0.93745,0.97131,0.6466,1.23182,0.52034,1.28761,0.000400495,0.000400495,0.000400495
130,4478.18,0.86835,0.42353,1.11077,0.93236,0.93665,0.973,0.64511,1.23825,0.52456,1.29438,0.000386973,0.000386973,0.000386973
131,4512.55,0.88331,0.42878,1.11919,0.95098,0.92061,0.97637,0.64927,1.23518,0.5193,1.29834,0.00037364,0.00037364,0.00037364
132,4546.92,0.85572,0.41138,1.09208,0.93514,0.92622,0.97449,0.64748,1.23925,0.52098,1.29606,0.000360502,0.000360502,0.000360502
133,4581.27,0.85985,0.42268,1.09966,0.95895,0.91018,0.97263,0.65302,1.22139,0.51526,1.28799,0.000347561,0.000347561,0.000347561
134,4615.62,0.85181,0.41333,1.10434,0.92981,0.94627,0.97495,0.6528,1.22327,0.51855,1.29766,0.000334822,0.000334822,0.000334822
135,4650.01,0.85004,0.41014,1.10071,0.94369,0.92734,0.97397,0.64763,1.23193,0.51643,1.30884,0.000322288,0.000322288,0.000322288
136,4684.36,0.85161,0.41703,1.09806,0.94024,0.92107,0.97128,0.64817,1.23612,0.52083,1.29747,0.000309964,0.000309964,0.000309964
137,4718.72,0.84292,0.41004,1.09685,0.93619,0.92951,0.97214,0.65152,1.23937,0.51585,1.29609,0.000297854,0.000297854,0.000297854
138,4753.05,0.8608,0.41345,1.09324,0.93513,0.92488,0.97017,0.65352,1.23327,0.5161,1.2919,0.00028596,0.00028596,0.00028596
139,4787.38,0.85185,0.41602,1.09737,0.95111,0.90494,0.96998,0.6518,1.233,0.52364,1.29535,0.000274287,0.000274287,0.000274287
140,4821.74,0.85433,0.41778,1.09917,0.93431,0.93527,0.97525,0.64889,1.23886,0.52025,1.31106,0.000262838,0.000262838,0.000262838
141,4856.09,0.85427,0.41575,1.10576,0.93901,0.93585,0.97155,0.65036,1.23008,0.50808,1.308,0.000251616,0.000251616,0.000251616
142,4890.49,0.83663,0.41378,1.08511,0.92842,0.94652,0.97077,0.64821,1.23663,0.51134,1.31519,0.000240625,0.000240625,0.000240625
143,4924.91,0.84173,0.40648,1.09215,0.93453,0.93859,0.97372,0.65078,1.23519,0.50974,1.301,0.000229869,0.000229869,0.000229869
144,4959.28,0.83221,0.40156,1.07602,0.9447,0.93165,0.97423,0.64919,1.23607,0.50672,1.30385,0.000219351,0.000219351,0.000219351
145,4993.65,0.82309,0.39769,1.08049,0.94531,0.92866,0.97393,0.64886,1.23061,0.51134,1.3034,0.000209073,0.000209073,0.000209073
146,5027.97,0.81466,0.39333,1.07721,0.92691,0.94868,0.97361,0.64922,1.23428,0.50659,1.31282,0.000199039,0.000199039,0.000199039
147,5062.29,0.82499,0.39513,1.08926,0.93911,0.93264,0.975,0.65416,1.22416,0.50269,1.30824,0.000189253,0.000189253,0.000189253
148,5096.58,0.83679,0.40464,1.09167,0.94104,0.93103,0.97461,0.64883,1.23788,0.51148,1.31437,0.000179716,0.000179716,0.000179716
149,5130.92,0.82098,0.39651,1.0874,0.94272,0.93023,0.97376,0.65195,1.23073,0.51047,1.30115,0.000170432,0.000170432,0.000170432
150,5165.32,0.81211,0.39297,1.07712,0.95058,0.92555,0.97723,0.64737,1.23423,0.51058,1.29743,0.000161404,0.000161404,0.000161404
151,5199.68,0.82263,0.40014,1.08602,0.94926,0.93017,0.97691,0.64781,1.23214,0.5109,1.29758,0.000152635,0.000152635,0.000152635
152,5234.02,0.80583,0.38968,1.07205,0.9402,0.93504,0.9744,0.65003,1.23678,0.50717,1.30189,0.000144126,0.000144126,0.000144126
153,5268.33,0.81844,0.39201,1.08474,0.94007,0.93264,0.97345,0.65024,1.24169,0.5056,1.30194,0.000135882,0.000135882,0.000135882
154,5302.66,0.80506,0.38956,1.07536,0.92571,0.94931,0.97339,0.65254,1.24062,0.50722,1.30141,0.000127904,0.000127904,0.000127904
155,5337.03,0.8117,0.39348,1.07852,0.94468,0.92702,0.9738,0.64977,1.24554,0.50874,1.31013,0.000120194,0.000120194,0.000120194
156,5371.42,0.82316,0.40295,1.08078,0.94277,0.92702,0.97357,0.64996,1.24602,0.51075,1.31459,0.000112755,0.000112755,0.000112755
157,5405.82,0.80113,0.38834,1.07932,0.93151,0.93802,0.97304,0.6503,1.2415,0.51109,1.31476,0.00010559,0.00010559,0.00010559
158,5440.19,0.81965,0.39599,1.07512,0.93362,0.93504,0.97398,0.64615,1.24393,0.50879,1.31485,9.87002e-05,9.87002e-05,9.87002e-05
