epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,4007.2,0.84185,0.40847,1.07846,0.92548,0.93275,0.9683,0.64446,1.2376,0.55062,1.3318,0.0002312,0.0002312,0.0002312
136,4036.8,0.83858,0.41298,1.07778,0.95019,0.91004,0.96643,0.64503,1.23867,0.55431,1.32933,0.000218,0.000218,0.000218
137,4066.39,0.83334,0.41456,1.07814,0.94879,0.89956,0.96544,0.64526,1.24244,0.55087,1.33764,0.0002048,0.0002048,0.0002048
138,4095.99,0.83588,0.41422,1.07464,0.93767,0.91965,0.96599,0.64563,1.23508,0.54772,1.32358,0.0001916,0.0001916,0.0001916
139,4125.58,0.83003,0.41152,1.07934,0.92501,0.92751,0.96506,0.64365,1.23201,0.54795,1.32355,0.0001784,0.0001784,0.0001784
140,4155.18,0.83121,0.40602,1.07698,0.94137,0.91156,0.96433,0.64544,1.22949,0.53963,1.31868,0.0001652,0.0001652,0.0001652
141,4185.14,0.78757,0.3784,1.05521,0.94545,0.91441,0.96181,0.62833,1.24551,0.55577,1.33191,0.000152,0.000152,0.000152
142,4214.69,0.7587,0.36153,1.03203,0.94314,0.90742,0.96124,0.62735,1.24394,0.5579,1.33757,0.0001388,0.0001388,0.0001388
143,4244.24,0.74949,0.3587,1.02387,0.93813,0.91378,0.96566,0.63459,1.23757,0.55006,1.34513,0.0001256,0.0001256,0.0001256
144,4273.79,0.76212,0.36095,1.03263,0.94378,0.91354,0.96684,0.63786,1.23893,0.54774,1.35472,0.0001124,0.0001124,0.0001124
145,4303.33,0.73579,0.35919,1.02299,0.94678,0.91616,0.96762,0.64034,1.23712,0.54735,1.35124,9.92e-05,9.92e-05,9.92e-05
146,4332.88,0.73941,0.35482,1.02154,0.93879,0.92314,0.96678,0.63917,1.2444,0.55038,1.35827,8.6e-05,8.6e-05,8.6e-05
147,4362.41,0.73956,0.34939,1.01885,0.94103,0.91988,0.96737,0.63943,1.24245,0.55216,1.357,7.28e-05,7.28e-05,7.28e-05
148,4391.96,0.72971,0.34896,1.02109,0.93324,0.92402,0.96471,0.63822,1.24101,0.55476,1.35776,5.96e-05,5.96e-05,5.96e-05
149,4421.57,0.73753,0.34966,1.02279,0.9361,0.9179,0.96446,0.63816,1.24035,0.55321,1.3555,4.64e-05,4.64e-05,4.64e-05
150,4453.89,0.73302,0.34908,1.02402,0.93922,0.91703,0.96475,0.6369,1.24102,0.55317,1.35673,3.32e-05,3.32e-05,3.32e-05
